Part_ID,Part_Name,Part_Type,Brand,Car_Model,Year,Material,Condition,Country_of_Origin,Weight_kg,Warranty_Years,Stock_Availability,Price_LKR,Length_cm,Width_cm,Height_cm
84,Brake Pad,Fuel System,Exide,Hyundai Elantra,2019,Ceramic,New,Germany,8.5,3,In Stock,19577,31,27,10
85,Engine Oil Filter,Exterior,Denso,BMW 3 Series,2017,Plastic,New,Japan,1.1,1,In Stock,44825,13,46,4
86,Windshield Wiper,Brake System,Philips,BMW 3 Series,2015,Aluminum,New,South Korea,3.9,3,Out of Stock,30131,40,33,15
87,Spark Plug,Cooling,Mann,BMW 3 Series,2018,Aluminum,New,Japan,4.2,0.5,In Stock,35833,40,23,4
88,Fuel Pump,Fuel System,Denso,Toyota Hilux,2019,Aluminum,New,South Korea,10,1,In Stock,42602,14,38,13
89,Headlight Assembly,Lighting,Bosch,Toyota Corolla,2019,Ceramic,New,USA,0.5,3,In Stock,16406,68,39,18
90,Air Filter,Engine Parts,Denso,Toyota Hilux,2021,Synthetic,New,India,9.6,3,Out of Stock,41254,13,37,15
91,Windshield Wiper,Fuel System,Exide,Hyundai Elantra,2016,Aluminum,New,Germany,1.8,1,In Stock,34747,10,21,20
92,Air Filter,Electrical,Valeo,BMW 3 Series,2016,Aluminum,New,Malaysia,7.1,3,In Stock,15347,38,29,16
93,Spark Plug,Electrical,Bosch,Kia Sportage,2021,Ceramic,New,Malaysia,3.1,2,In Stock,3513,36,19,18
94,Air Filter,Fuel System,NGK,Toyota Corolla,2023,Ceramic,New,South Korea,3,0.5,Out of Stock,4357,57,13,14
95,Alternator,Brake System,Denso,Toyota Corolla,2017,Plastic,New,Malaysia,7.5,1,Out of Stock,43597,17,48,13
96,Spark Plug,Lighting,K&N,Honda Civic,2022,Plastic,New,Malaysia,1.9,3,In Stock,8841,13,6,11
97,Spark Plug,Fuel System,NGK,Toyota Hilux,2017,Ceramic,New,Malaysia,2.2,3,In Stock,46009,25,45,7
98,Windshield Wiper,Exterior,Mann,Kia Sportage,2022,Ceramic,New,Germany,5.1,1,In Stock,43036,31,50,19
99,Air Filter,Brake System,Denso,Honda Civic,2016,Ceramic,New,USA,4.9,2,Out of Stock,41075,33,35,14
100,Radiator,Exterior,Denso,Honda Civic,2016,Aluminum,New,India,6.3,2,In Stock,45130,9,48,17
